BBL,borough,zip5,median_household_income,res_unit,eviction_count,hpd_2025_habitability_count,hpd_2025_strict_count,vacate_count,litigation_count,is_aep,lien_amount,water,C,I,dob_violations,winner_score,baseline_score
3078130136,BK,11210,83261.0,108.0,7.0,174.0,144.0,0.0,4.0,False,34000.0,0.0,549.0,1.0,198.0,313.2,57.08
2028680105,BX,10453,35482.0,84.0,8.0,171.0,160.0,0.0,2.0,True,35055.0,22707.97,557.0,6.0,52.0,202.3,7.09
3044520001,BK,11239,35675.0,1168.0,63.0,170.0,139.0,3.0,3.0,False,2718.0,0.0,584.0,5.0,453.0,407.8,3.0
3018030086,BK,11216,95000.0,21.0,2.0,170.0,142.0,0.0,1.0,True,501593.0,192245.78,719.0,10.0,13.0,285.3,61.08
2025050050,BX,10452,37854.0,92.0,22.0,169.0,154.0,0.0,41.0,False,66274.0,194160.08,575.0,0.0,207.0,281.4,80.02
1019580001,MN,10027,64220.0,311.0,12.0,169.0,137.0,4.0,23.0,False,64516.0,3616180.22,698.0,12.0,1496.0,647.5,59.4
3052520051,BK,11210,83261.0,48.0,3.0,169.0,132.0,1.0,14.0,False,39845.0,0.0,238.0,2.0,333.0,220.0,34.92
2024610058,BX,10456,35676.0,81.0,13.0,168.0,139.0,2.0,0.0,False,109874.0,0.0,430.0,4.0,658.0,429.8,59.1
2025220043,BX,10452,37854.0,35.0,1.0,168.0,122.0,0.0,22.0,True,863817.0,1325674.27,1506.0,15.0,198.0,604.2,134.9
2031590001,BX,10458,42107.0,68.0,13.0,167.0,138.0,1.0,0.0,False,28580.0,21446.980000000003,893.0,0.0,58.0,271.5,114.4
3044157501,BK,11207,55419.0,550.0,9.0,166.0,151.0,0.0,11.0,False,27794.0,0.0,1200.0,0.0,0.0,519.2,22.35
2038660049,BX,10472,43125.0,72.0,8.0,166.0,156.0,0.0,0.0,True,51959.0,95950.83,1494.0,7.0,163.0,509.4,128.01
4049720001,QN,11354,62833.0,60.0,6.0,166.0,137.0,0.0,3.0,True,17709.0,1097722.6099999999,668.0,0.0,34.0,280.9,140.35
3050260100,BK,11225,85201.0,224.0,0.0,165.0,160.0,0.0,5.0,False,27653.0,115.49,502.0,0.0,209.0,428.2,26.33
1017830029,MN,10035,40556.0,33.0,3.0,164.0,154.0,0.0,2.0,True,501899.0,688850.99,944.0,7.0,23.0,371.1,26.72
2031910045,BX,10468,46624.0,33.0,2.0,164.0,134.0,0.0,3.0,False,72130.0,0.0,622.0,0.0,6.0,220.1,66.28
2051350051,BX,10475,62383.0,4458.0,96.0,162.0,125.0,0.0,40.0,False,385087.0,13815.8,1853.0,3204.0,750.0,799.2,126.37
1017370015,MN,10037,51250.0,256.0,31.0,162.0,109.0,0.0,7.0,False,733608.0,376375.29,424.0,0.0,339.0,320.7,47.43
1021670067,MN,10033,75585.0,31.0,1.0,162.0,157.0,0.0,4.0,False,21292.0,2752030.91,463.0,0.0,43.0,253.4,111.49
1021690029,MN,10040,64022.0,38.0,7.0,161.0,142.0,0.0,1.0,True,59315.0,1469789.96,364.0,4.0,57.0,194.6,9.02
3049670040,BK,11210,83261.0,504.0,92.0,160.0,117.0,0.0,8.0,False,1877337.0,0.0,2449.0,0.0,938.0,746.3,7.45
2032160026,BX,10453,35482.0,255.0,21.0,160.0,107.0,0.0,8.0,False,135107.0,0.0,440.0,0.0,117.0,206.9,0.96
3050260264,BK,11225,85201.0,126.0,20.0,160.0,106.0,0.0,6.0,False,288720.0,74534.58,780.0,0.0,431.0,292.1,55.99
2026037501,BX,10455,36701.0,130.0,3.0,160.0,136.0,1.0,0.0,False,132402.0,1694600.01,889.0,0.0,0.0,239.3,30.43
4031550027,QN,11374,86333.0,286.0,21.0,159.0,134.0,0.0,0.0,False,28574.0,0.0,491.0,0.0,47.0,253.6,3.31
1020100011,MN,10030,42738.0,48.0,1.0,159.0,112.0,3.0,7.0,False,19012.0,947602.41,765.0,1.0,137.0,313.8,31.04
2027650078,BX,10474,41279.0,60.0,6.0,158.0,112.0,0.0,0.0,True,522855.0,2388072.79,2095.0,16.0,379.0,792.0,40.01
2033230001,BX,10458,42107.0,112.0,6.0,158.0,142.0,1.0,8.0,False,95131.0,526426.07,528.0,0.0,77.0,265.7,6.76
2024820053,BX,10451,37111.0,72.0,18.0,157.0,139.0,0.0,0.0,False,45341.0,0.0,750.0,0.0,64.0,302.6,89.33
2032490010,BX,10468,46624.0,100.0,13.0,157.0,131.0,1.0,1.0,False,123116.0,0.0,542.0,3.0,26.0,196.0,0.0
3051050043,BK,11226,81084.0,78.0,12.0,157.0,146.0,1.0,12.0,False,8947.0,84626.23999999999,484.0,0.0,119.0,231.6,65.07
2032250015,BX,10468,46624.0,61.0,9.0,157.0,115.0,1.0,5.0,True,111235.0,0.0,1072.0,1.0,171.0,358.8,83.13
1022420026,MN,10034,69786.0,48.0,9.0,157.0,144.0,0.0,15.0,False,11373.0,224741.97,561.0,0.0,118.0,248.1,8.84
3065730043,BK,11230,69522.0,36.0,1.0,157.0,97.0,0.0,2.0,False,32293.0,253046.74,729.0,0.0,324.0,401.0,74.25
